City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Busselton,0,AU,1651779819,62,-33.65,115.3333,54.7,13.58
1,Asău,12,RO,1651780099,83,46.4333,26.4,49.28,0.78
2,Jiuquan,64,CN,1651780099,29,39.7432,98.5174,59.14,11.05
3,Butaritari,66,KI,1651779846,71,3.0707,172.7902,81.5,17.13
4,Port Lincoln,89,AU,1651779898,58,-34.7333,135.8667,56.01,10.47
5,Laas,100,IT,1651779853,97,46.6166,10.7002,52.68,2.21
6,Pedernales,13,DO,1651780100,64,18.0384,-71.744,84.4,3.11
7,Changji,0,CN,1651779877,68,44.0167,87.3167,66.99,11.18
8,Hithadhoo,100,MV,1651779876,74,-0.6,73.0833,83.91,15.86
9,Qaanaaq,5,GL,1651779869,80,77.484,-69.3632,19.18,5.61
10,Saint Paul Harbor,100,US,1651779842,76,57.79,-152.4072,45.91,17.27
11,Ushuaia,75,AR,1651779706,49,-54.8,-68.3,47.86,16.11
12,Vila Velha,40,BR,1651779828,85,-20.3297,-40.2925,80.55,12.66
13,Mahébourg,75,MU,1651779852,94,-20.4081,57.7,76.24,18.41
14,Ulladulla,0,AU,1651780101,60,-35.35,150.4667,50.9,11.56
15,Bengkulu,95,ID,1651779928,87,-3.8004,102.2655,76.03,3.13
16,Yulara,12,AU,1651779703,61,-25.2406,130.9889,42.64,4.61
17,Kapaa,75,US,1651779868,78,22.0752,-159.319,79.12,14.97
18,Tuktoyaktuk,100,CA,1651779812,93,69.4541,-133.0374,26.6,17.27
19,Biltine,81,TD,1651780102,11,14.5333,20.9167,94.75,12.93
20,La Ronge,40,CA,1651779922,75,55.1001,-105.2842,39.45,14.97
21,Rikitea,41,PF,1651779814,85,-23.1203,-134.9692,77.86,15.86
22,Carnarvon,0,AU,1651779710,55,-24.8667,113.6333,62.67,6.91
23,Anshan,100,CN,1651780060,62,41.1236,122.99,57.61,6.04
24,Cam Ranh,40,VN,1651779905,89,11.9214,109.1591,78.76,1.14
25,Rio Grande,15,BR,1651780102,66,-32.035,-52.0986,75.31,5.32
26,Hirado,69,JP,1651780103,76,33.3597,129.5531,64.9,4.25
27,Namatanai,99,PG,1651779960,83,-3.6667,152.4333,79.7,8.03
28,Thompson,100,CA,1651779875,70,55.7435,-97.8558,37.56,6.91
29,Tura,3,IN,1651779818,92,25.5198,90.2201,69.06,4.16
30,Albany,100,US,1651779848,41,42.6001,-73.9662,69.46,1.01
31,Kieta,99,PG,1651779983,84,-6.2167,155.6333,80.17,4.61
